title,card-name,card-count,class,archetype,season,game-mode
TINGoT0NG’s Season 12 Aggro Rogue,SI:7 Agent,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Goblin Auto-Barber,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Gnomish Inventor,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Backstab,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Shiv,1,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Blade Flurry,2,Rogue,Aggro,Season 12,Ladder
TINGoT0NG’s Season 12 Aggro Rogue,Bloodmage Thalnos,1,Rogue,Aggro,Season 12,Ladder
Guukboii Viagame House Cup 2 Aggro Rogue,Coldlight Oracle,2,Rogue,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Annoy-o-Tron,2,Rogue,Aggro,Season 12,Tournament
ThijsNL’s Viagame House Cup 2 Face Hunter,Ironbeak Owl,1,Hunter,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Aggro Rogue,Deadly Poison,2,Rogue,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Spider Tank,2,Mage,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Tinkertown Technician,2,Mage,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Mech Mage,Cogmaster,2,Mage,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Snowchugger,2,Mage,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Snake Trap,1,Hunter,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Glaivezooka,1,Hunter,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Kill Command,2,Hunter,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Worgen Infiltrator,1,Hunter,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Mech Mage,Annoy-o-Tron,2,Mage,Aggro,Season 12,Tournament
Brian Kibler’s KPL W.4 Face Hunter,Animal Companion,1,Hunter,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Blade Flurry,2,Rogue,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Clockwork Gnome,1,Hunter,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,SI:7 Agent,2,Rogue,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Frostbolt,2,Mage,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Piloted Shredder,2,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Face Hunter,Leper Gnome,2,Hunter,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Aggro Rogue,Bloodmage Thalnos,1,Rogue,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Snake Trap,1,Hunter,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Piloted Sky Golem,1,Mage,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Face Hunter,Knife Juggler,2,Hunter,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Mech Mage,Loatheb,1,Mage,Aggro,Season 12,Tournament
ThijsNL’s Viagame House Cup 2 Face Hunter,Worgen Infiltrator,1,Hunter,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Mad Scientist,2,Hunter,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Mech Mage,Mechwarper,2,Mage,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Preparation,1,Rogue,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Face Hunter,Tracking,1,Hunter,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Kill Command,2,Hunter,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Glaivezooka,2,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Mech Mage,Archmage Antonidas,1,Mage,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Face Hunter,Abusive Sergeant,2,Hunter,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Leeroy Jenkins,1,Hunter,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Water Elemental,2,Mage,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Fireball,2,Mage,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Mech Mage,Fireball,2,Mage,Aggro,Season 12,Tournament
Orange’s Viagame House Cup 2 Mech Mage,Mechanical Yeti,1,Mage,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Face Hunter,Hunter's Mark,1,Hunter,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Fireball,2,Mage,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Aggro Rogue,Assassin's Blade,1,Rogue,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Clockwork Gnome,2,Mage,Aggro,Season 12,Tournament
Gaara’s KPL W.4 Face Hunter,Knife Juggler,2,Hunter,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Clockwork Gnome,2,Mage,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Mirror Entity,2,Mage,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Face Hunter,Haunted Creeper,2,Hunter,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Clockwork Gnome,2,Mage,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Annoy-o-Tron,1,Mage,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Frostbolt,2,Mage,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Harvest Golem,2,Mage,Aggro,Season 12,Tournament
Savjz’s KPL W.4 (Eboladin) Aggro Paladin,Wisp,2,Paladin,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Southsea Deckhand,2,Rogue,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,The Black Knight,1,Mage,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Spider Tank,2,Mage,Aggro,Season 12,Tournament
Savjz’s KPL W.4 (Eboladin) Aggro Paladin,Divine Favor,2,Paladin,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Face Hunter,Haunted Creeper,2,Hunter,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Archmage Antonidas,1,Mage,Aggro,Season 12,Tournament
ThijsNL’s Viagame House Cup 2 Face Hunter,Kill Command,2,Hunter,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Knife Juggler,2,Hunter,Aggro,Season 12,Tournament
Gaara’s KPL W.4 Face Hunter,Ironbeak Owl,2,Hunter,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Haunted Creeper,2,Hunter,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Animal Companion,2,Hunter,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Snowchugger,2,Mage,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Cogmaster,2,Mage,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Mech Mage,Dr. Boom,1,Mage,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Abusive Sergeant,2,Hunter,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Glaivezooka,1,Hunter,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Mechanical Yeti,1,Mage,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Face Hunter,Kill Command,2,Hunter,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Annoy-o-Tron,2,Mage,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Argent Squire,2,Rogue,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Loatheb,1,Mage,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Explosive Trap,1,Hunter,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Counterspell,1,Mage,Aggro,Season 12,Tournament
Orange’s Viagame House Cup 2 Mech Mage,Piloted Shredder,2,Mage,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Mech Mage,Clockwork Gnome,2,Mage,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Haunted Creeper,2,Hunter,Aggro,Season 12,Tournament
Savjz’s KPL W.4 (Eboladin) Aggro Paladin,Leper Gnome,2,Paladin,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Mech Mage,Cogmaster,2,Mage,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Unleash the Hounds,2,Hunter,Aggro,Season 12,Tournament
Orange’s Viagame House Cup 2 Mech Mage,Loatheb,1,Mage,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Clockwork Gnome,2,Rogue,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Freezing Trap,2,Hunter,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Animal Companion,2,Hunter,Aggro,Season 12,Tournament
ThijsNL’s Viagame House Cup 2 Face Hunter,Knife Juggler,2,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Face Hunter,Wolfrider,2,Hunter,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Snowchugger,2,Mage,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Face Hunter,Worgen Infiltrator,1,Hunter,Aggro,Season 12,Tournament
Gaara’s KPL W.4 Face Hunter,Abusive Sergeant,2,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Face Hunter,Worgen Infiltrator,2,Hunter,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Animal Companion,2,Hunter,Aggro,Season 12,Tournament
Orange’s Viagame House Cup 2 Mech Mage,Clockwork Gnome,2,Mage,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Leper Gnome,2,Hunter,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Face Hunter,Unleash the Hounds,2,Hunter,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Snake Trap,1,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Mech Mage,Snowchugger,2,Mage,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Arcane Golem,2,Hunter,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Frostbolt,2,Mage,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Wolfrider,2,Hunter,Aggro,Season 12,Tournament
Brian Kibler’s KPL W.4 Face Hunter,Eaglehorn Bow,2,Hunter,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Azure Drake,1,Mage,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Mad Scientist,2,Mage,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Face Hunter,Hunter's Mark,1,Hunter,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Aggro Rogue,Southsea Deckhand,2,Rogue,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Fireball,2,Mage,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Loatheb,1,Hunter,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Aggro Rogue,Loot Hoarder,2,Rogue,Aggro,Season 12,Tournament
ThijsNL’s Viagame House Cup 2 Face Hunter,Tracking,1,Hunter,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Spider Tank,2,Mage,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Face Hunter,Clockwork Gnome,1,Hunter,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Abusive Sergeant,2,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Face Hunter,Eaglehorn Bow,2,Hunter,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Eaglehorn Bow,1,Hunter,Aggro,Season 12,Tournament
Savjz’s KPL W.4 (Eboladin) Aggro Paladin,Haunted Creeper,2,Paladin,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Face Hunter,Arcane Golem,2,Hunter,Aggro,Season 12,Tournament
Brian Kibler’s KPL W.4 Face Hunter,Glaivezooka,2,Hunter,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Tinkertown Technician,1,Mage,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Knife Juggler,2,Hunter,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Frostbolt,2,Mage,Aggro,Season 12,Tournament
Forsen’s Viagame House Cup 2 Face Hunter,Animal Companion,2,Hunter,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Face Hunter,Leper Gnome,2,Hunter,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Mech Mage,Fireball,2,Mage,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Mechwarper,2,Mage,Aggro,Season 12,Tournament
Savjz’s Viagame House Cup 2 Face Hunter,Kill Command,2,Hunter,Aggro,Season 12,Tournament
Orange’s Viagame House Cup 2 Mech Mage,Annoy-o-Tron,2,Mage,Aggro,Season 12,Tournament
Savjz’s KPL W.4 (Eboladin) Aggro Paladin,Jeeves,2,Paladin,Aggro,Season 12,Tournament
Brian Kibler’s KPL W.4 Face Hunter,Knife Juggler,2,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Face Hunter,Leeroy Jenkins,1,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Face Hunter,Abusive Sergeant,2,Hunter,Aggro,Season 12,Tournament
TidesofTime’s Viagame House Cup 2 Mech Mage,Mad Scientist,2,Mage,Aggro,Season 12,Tournament
Badi’s Viagame House Cup 2 Face Hunter,Leeroy Jenkins,1,Hunter,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Archmage Antonidas,1,Mage,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Cogmaster,2,Mage,Aggro,Season 12,Tournament
Hoej’s Viagame House Cup 2 Mech Mage,Cogmaster,2,Mage,Aggro,Season 12,Tournament
Frezzar’s KPL W.4 Aggro Hunter,Wolfrider,2,Hunter,Aggro,Season 12,Tournament
Amaz’s Viagame House Cup 2 Mech Mage,Annoy-o-Tron,2,Mage,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Mech Mage,Mechwarper,2,Mage,Aggro,Season 12,Tournament
ThijsNL’s Viagame House Cup 2 Face Hunter,Wolfrider,2,Hunter,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Mad Scientist,2,Mage,Aggro,Season 12,Tournament
Kolento’s Viagame House Cup 2 Face Hunter,Worgen Infiltrator,2,Hunter,Aggro,Season 12,Tournament
Brian Kibler’s KPL W.4 Face Hunter,Wolfrider,2,Hunter,Aggro,Season 12,Tournament
ThijsNL’s Viagame House Cup 2 Face Hunter,Arcane Golem,2,Hunter,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Aggro Rogue,Backstab,2,Rogue,Aggro,Season 12,Tournament
Orange’s Viagame House Cup 2 Mech Mage,Cogmaster,2,Mage,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Mech Mage,Spider Tank,2,Mage,Aggro,Season 12,Tournament
Roger’s Viagame House Cup 2 Face Hunter,Eaglehorn Bow,2,Hunter,Aggro,Season 12,Tournament
Orange’s Viagame House Cup 2 Mech Mage,Archmage Antonidas,1,Mage,Aggro,Season 12,Tournament
TheBombEx’s Viagame House Cup 2 Mech Mage,Snowchugger,2,Mage,Aggro,Season 12,Tournament
Guukboii Viagame House Cup 2 Mech Mage,Piloted Sky Golem,1,Mage,Aggro,Season 12,Tournament
Tiddler Celestial’s Viagame House Cup 2 Mech Mage,Azure Drake,1,Mage,Aggro,Season 12,Tournament
Xixo’s Kinguin 3 Aggro Rogue,Deadly Poison,2,Rogue,Aggro,Season 12,Tournament
